trade_utc,wallet,wallet_label,token_id,condition_id,question,outcome_label,side,role,fill_price,fill_size,book_before_age_s,best_bid_before,best_ask_before,mid_before,spread_before,book_after_age_s,best_bid_after,best_ask_after,context_status,null_reason
2026-07-04T17:45:16+00:00,0x2005d16a84ceefa912d4e380cd32e7ff827875ea,RN1,57193392355460061619592829060341022068959297852123714182024455341771304882767,0xe52d6ea7e8826737488feb601d1e1fb0539b02581abad4807809562b00c897a0,Morocco leading at halftime?,Yes,BUY,maker,0.07,122.7345,23,0.06,0.07,0.065,0.01,6,0.06,0.07,weak,
2026-07-04T17:45:14+00:00,0x2005d16a84ceefa912d4e380cd32e7ff827875ea,RN1,57193392355460061619592829060341022068959297852123714182024455341771304882767,0xe52d6ea7e8826737488feb601d1e1fb0539b02581abad4807809562b00c897a0,Morocco leading at halftime?,Yes,BUY,maker,0.07,5.04,21,0.06,0.07,0.065,0.01,8,0.06,0.07,weak,
2026-07-04T17:45:14+00:00,0x2005d16a84ceefa912d4e380cd32e7ff827875ea,RN1,57193392355460061619592829060341022068959297852123714182024455341771304882767,0xe52d6ea7e8826737488feb601d1e1fb0539b02581abad4807809562b00c897a0,Morocco leading at halftime?,Yes,BUY,maker,0.07,188.7655,21,0.06,0.07,0.065,0.01,8,0.06,0.07,weak,
2026-07-04T17:45:14+00:00,0x2005d16a84ceefa912d4e380cd32e7ff827875ea,RN1,57193392355460061619592829060341022068959297852123714182024455341771304882767,0xe52d6ea7e8826737488feb601d1e1fb0539b02581abad4807809562b00c897a0,Morocco leading at halftime?,Yes,BUY,maker,0.07,5.04,21,0.06,0.07,0.065,0.01,8,0.06,0.07,weak,
2026-07-04T17:45:14+00:00,0x2005d16a84ceefa912d4e380cd32e7ff827875ea,RN1,31307193838868775164605761248469504056952639938744991980169462404087039704273,0x0c4334e84edeff507fe1907f7c206a883027983f74b81469fd48d8a7746cec97,Wimbledon ATP: Zizou Bergs vs Arthur Fery,Zizou Bergs,BUY,maker,0.131,24.98039,367,0.564,0.57,0.567,0.006,,,,stale,book_before_too_old
2026-07-04T17:45:13+00:00,0x2005d16a84ceefa912d4e380cd32e7ff827875ea,RN1,61956596667330249513830031723434717646586942722121037061330878359712119306402,0x1de3d13c0af2999ec0db002e1105dade4db54c5828b78521ba1a6b6eab588740,Canada leading at halftime?,No,BUY,maker,0.94,4258.2,18,0.93,0.94,0.935,0.01,11,0.92,0.94,weak,
2026-07-04T17:45:11+00:00,0x2005d16a84ceefa912d4e380cd32e7ff827875ea,RN1,31307193838868775164605761248469504056952639938744991980169462404087039704273,0x0c4334e84edeff507fe1907f7c206a883027983f74b81469fd48d8a7746cec97,Wimbledon ATP: Zizou Bergs vs Arthur Fery,Zizou Bergs,BUY,maker,0.131,72.05,364,0.564,0.57,0.567,0.006,,,,stale,book_before_too_old
2026-07-04T17:45:10+00:00,0x2005d16a84ceefa912d4e380cd32e7ff827875ea,RN1,31307193838868775164605761248469504056952639938744991980169462404087039704273,0x0c4334e84edeff507fe1907f7c206a883027983f74b81469fd48d8a7746cec97,Wimbledon ATP: Zizou Bergs vs Arthur Fery,Zizou Bergs,BUY,maker,0.13100000031667738,14.064787,363,0.564,0.57,0.567,0.006,,,,stale,book_before_too_old
2026-07-04T17:45:07+00:00,0x2005d16a84ceefa912d4e380cd32e7ff827875ea,RN1,31307193838868775164605761248469504056952639938744991980169462404087039704273,0x0c4334e84edeff507fe1907f7c206a883027983f74b81469fd48d8a7746cec97,Wimbledon ATP: Zizou Bergs vs Arthur Fery,Zizou Bergs,BUY,maker,0.131,31.39808,360,0.564,0.57,0.567,0.006,,,,stale,book_before_too_old
2026-07-04T17:44:59+00:00,0x2005d16a84ceefa912d4e380cd32e7ff827875ea,RN1,66223776699043335563776505320054595596466404195053961420506866958973467712677,0xffa9ed5b81bc308daade233d6acc79161704f1aea07e53563b59682d6b622882,Canada vs. Morocco: Draw at halftime?,No,BUY,maker,0.12000000045708888,10.50124,3,0.13,0.14,0.135,0.01,26,0.12,0.13,good,
