,wallet_label,token_id,question,outcome_label,buy_shares,sell_shares,buy_notional,sell_notional,total_notional,fills,net_shares,gross_shares,net_to_gross_ratio
72,RN1,31038908195142167614664400537596872422132480344982761758511498924474589525521,France leading at halftime?,Yes,75069.93723899999,0.0,37694.530856,0.0,37694.530856,45,75069.93723899999,75069.93723899999,1.0
73,RN1,31154355642611227701222141115208273042464517612741608844692380262085835808587,France leading at halftime?,No,58421.925128,0.0,27403.19376,0.0,27403.193760000002,112,58421.925128,58421.925128,1.0
74,RN1,31246751777309327054837731878037520541776738112006758382821715244728162092472,Exact Score: Paraguay 1 - 2 France?,No,9424.068855999998,0.0,8587.843700000001,0.0,8587.843700000001,32,9424.068855999998,9424.068855999998,1.0
75,RN1,31292842804621552685080710635481150509566506621131636432949831366602181113978,Paraguay vs. France: Team to Advance,France,1417.67,0.0,1290.0797,0.0,1290.0797,1,1417.67,1417.67,1.0
76,RN1,31307193838868775164605761248469504056952639938744991980169462404087039704273,Wimbledon ATP: Zizou Bergs vs Arthur Fery,Zizou Bergs,26.38,0.0,14.87832,0.0,14.87832,1,26.38,26.38,1.0
77,RN1,31417086793621618856375843019375911197263762401099748909581852860838334314880,Paraguay vs. France: O/U 4.5,Over,8034.66,0.0,758.7860000000001,0.0,758.7860000000001,2,8034.66,8034.66,1.0
78,RN1,31840584116415909260077911079726591724065597966864491928760580867904637514068,Paraguay vs. France: France O/U 0.5,Under,323.749407,0.0,23.749415,0.0,23.749415,2,323.749407,323.749407,1.0
79,RN1,32264965155253839525730975712869361705388881506779825276941486822523079572280,Canada vs. Morocco: Morocco O/U 1.5,Under,1743.320585,0.0,1446.956087,0.0,1446.956087,3,1743.320585,1743.320585,1.0
80,RN1,33273656523310658385604628273683952051264933161377051215866332730972461652012,Wimbledon ATP: Grigor Dimitrov vs Matteo Berrettini,Matteo Berrettini,24774.828995,0.0,10766.646825,0.0,10766.646825,34,24774.828995,24774.828995,1.0
81,RN1,34010156798668660072846095063156120676792058629058900450653997418737616077704,Exact Score: Canada 0 - 0 Morocco?,No,1238.8736720000002,0.0,863.588976,0.0,863.588976,7,1238.8736720000002,1238.8736720000002,1.0
82,RN1,35371420051097980571529391020191940963108890582721510726130912008018851448702,Exact Score: Paraguay 0 - 1 France?,No,1392.209529,0.0,1146.0381380000001,0.0,1146.038138,14,1392.209529,1392.209529,1.0
83,RN1,36004372491427599817441316225161037536519877865238471959767538801075253992717,Exact Score: Canada 2 - 1 Morocco?,No,1629.1265290000001,0.0,1566.09133,0.0,1566.09133,4,1629.1265290000001,1629.1265290000001,1.0
84,RN1,36054656021254014463764765072865834877017369647568704042024652214155964558776,Exact Score: Canada 2 - 2 Morocco?,No,589.6428559999999,0.0,582.702857,0.0,582.702857,2,589.6428559999999,589.6428559999999,1.0
85,RN1,36445271270237756321894721610612972048230888657968549645623936509391547471704,Paraguay vs. France: 1st Half O/U 2.5,Under,5040.2,0.0,4940.389999999999,0.0,4940.389999999999,3,5040.2,5040.2,1.0
86,RN1,3651745572886390686361185784362030812008352157082960896155953796481046303802,Paraguay vs. France: Paraguay O/U 2.5,Over,8956.285,0.0,71.65028000000001,0.0,71.65028,6,8956.285,8956.285,1.0
87,RN1,37784314320367357388314558774475189905405949796711430141825364706746501854725,Exact Score: Canada 2 - 2 Morocco?,Yes,820.4110900000001,0.0,10.215522,0.0,10.215522,5,820.4110900000001,820.4110900000001,1.0
88,RN1,38799735782942997010258413982163294914265852434730143680763268935472863722364,Exact Score: Canada 1 - 1 Morocco?,No,3736.53969,0.0,2859.099714,0.0,2859.099714,29,3736.53969,3736.53969,1.0
89,RN1,39829420117533150550184846325805706216027544339731400040170885335796384867455,Will Canada win on 2026-07-04?,Yes,53548.089293,0.0,5393.031836,0.0,5393.031836,86,53548.089293,53548.089293,1.0
90,RN1,42996203538860485282358738973883755617896397771907303376864680499165101300451,Canada vs. Morocco: O/U 0.5,Over,8912.814041,0.0,6328.435243000001,0.0,6328.435243,4,8912.814041,8912.814041,1.0
91,RN1,43206349733795320404561682906083340686502197494152995596556037060237152808546,Will Paraguay win on 2026-07-04?,No,28705.223552,0.0,27436.249581,0.0,27436.249581,119,28705.223552,28705.223552,1.0
92,RN1,44257241900175800751939097612366241689764542270014584779223157791564552987319,Exact Score: Paraguay 0 - 3 France?,Yes,2252.977,0.0,292.88701000000003,0.0,292.88701000000003,4,2252.977,2252.977,1.0
93,RN1,44353541701084544889177113541500218254300148899068336004233494664585979186587,Spread: Detroit Tigers (-1.5),Detroit Tigers,940.89,0.0,649.2141,0.0,649.2141,1,940.89,940.89,1.0
94,RN1,44803322121372600829211703698408700588466968734104400001986336283612036539752,Exact Score: Paraguay 1 - 1 France?,Yes,115.02,0.0,7.70634,0.0,7.70634,1,115.02,115.02,1.0
95,RN1,46583164088552628109006406225347745689461921407583150295364128401681303855693,Will Paraguay vs. France end in a draw?,Yes,5663.057611,0.0,998.4692179999998,0.0,998.469218,12,5663.057611,5663.057611,1.0
96,RN1,46762777272886277092060027756070560996130352019527424549360135758274606167869,Paraguay vs. France: Paraguay O/U 2.5,Under,625.0,0.0,620.0,0.0,620.0,1,625.0,625.0,1.0
97,RN1,46789911925202689685168733809926497387761702965104942018421365628502659183320,Canada vs. Morocco: O/U 3.5,Under,22711.215066,0.0,21704.58362,0.0,21704.58362,21,22711.215066,22711.215066,1.0
98,RN1,47079195437486623568073733372189649540796094022294759531270286119869124805090,Wimbledon ATP: Frances Tiafoe vs Alexander Bublik,Frances Tiafoe,98501.323726,0.0,43431.386114,0.0,43431.386114,158,98501.323726,98501.323726,1.0
99,RN1,47523359566599688529868130218766383548069667599339805725973075967987878581565,Spread: France (-1.5),France,55087.93815500001,0.0,29882.490507999995,0.0,29882.490508,32,55087.93815500001,55087.93815500001,1.0
100,RN1,49581119857095769898709261286188827811051119993473639878340350659508041554997,Wimbledon WTA: Liudmila Samsonova vs Marie Bouzkova,Marie Bouzkova,61.66,0.0,20.9644,0.0,20.9644,1,61.66,61.66,1.0
101,RN1,50171406964679500706317840638231885886757432654921300229569346029386303809313,Exact Score: Canada 1 - 3 Morocco?,No,779.75,0.0,771.6110000000001,0.0,771.6110000000001,2,779.75,779.75,1.0
102,RN1,50824321377710964921744720422284572418158281031478336435167731758953613423485,Canada vs. Morocco: O/U 1.5,Under,40191.664706,0.0,18967.732765999997,0.0,18967.732766,84,40191.664706,40191.664706,1.0
103,RN1,50974834899476993543807241196769885927448705821766282663033691717596318889682,Spread: France (-2.5),France,23053.949306000002,0.0,7100.698314,0.0,7100.698314,17,23053.949306000002,23053.949306000002,1.0
104,RN1,52071782462468873771845763053526838157474679154027960578775367045025103555530,Wimbledon WTA: Emma Navarro vs Marta Kostyuk,Emma Navarro,349.943658,0.0,101.483661,0.0,101.483661,1,349.943658,349.943658,1.0
105,RN1,53338133086294047225476368982160040852321573980678224921653172131529827845119,Exact Score: Canada 2 - 3 Morocco?,No,959.42857,0.0,953.448571,0.0,953.448571,5,959.42857,959.42857,1.0
106,RN1,53850543449954319258830021596635472306701104640080847905103517678613649532150,Paraguay vs. France: Team to Advance,Paraguay,15230.206626,0.0,1195.354464,0.0,1195.354464,9,15230.206626,15230.206626,1.0
107,RN1,53982070612060940317822023243062427267151360599914152415087227562594547781738,Paraguay vs. France: O/U 6.5,Over,4637.2020410000005,0.0,46.372102000000005,0.0,46.372102000000005,4,4637.2020410000005,4637.2020410000005,1.0
108,RN1,54942794805780398938471515451240554956679313074933501606699297304029312241013,Spread: Canada (-1.5),Canada,80.32,0.0,0.5879,0.0,0.5879,2,80.32,80.32,1.0
109,RN1,55176479760999871576955526417004581734443131873209795645893297767821754893190,Minnesota Twins vs. New York Yankees,Minnesota Twins,628.505036,0.0,424.96644499999996,0.0,424.966445,15,628.505036,628.505036,1.0
110,RN1,55527057073354431016613539322447476515250657989588501111701319958475813452255,Canada vs. Morocco: O/U 3.5,Over,44440.951616,0.0,2619.213274,0.0,2619.213274,44,44440.951616,44440.951616,1.0
111,RN1,55669177104213086410609258473030278150313428281140298294302693704677819688547,Paraguay vs. France: O/U 3.5,Under,13286.263156,0.0,9434.773157,0.0,9434.773157,4,13286.263156,13286.263156,1.0
112,RN1,55920410518084961660947482181085666491550953052146626322159352002622133192050,Spread: Morocco (-1.5),Canada,34011.022039,0.0,22346.939501999997,0.0,22346.939502,39,34011.022039,34011.022039,1.0
113,RN1,55991319597665125182916471491631502579824361829744744160986499885057988396993,Paraguay vs. France: O/U 5.5,Under,4898.8475,0.0,4743.21835,0.0,4743.21835,4,4898.8475,4898.8475,1.0
114,RN1,56292828273428899260365455682186850383967622513477170366683867650416440166282,Canada vs. Morocco: Team to Advance,Canada,82565.85104699999,0.0,16383.089323999999,0.0,16383.089324,91,82565.85104699999,82565.85104699999,1.0
115,RN1,56827100484696464295258016877967085212544260930925987277850330632126944317645,Canada vs. Morocco: O/U 5.5,Over,13590.0,0.0,40.769999999999996,0.0,40.769999999999996,3,13590.0,13590.0,1.0
116,RN1,57193392355460061619592829060341022068959297852123714182024455341771304882767,Morocco leading at halftime?,Yes,6456.375793000001,0.0,400.47394799999995,0.0,400.473948,12,6456.375793000001,6456.375793000001,1.0
117,RN1,57822021897969554856172041003897906317256928701009800006822886122985244611546,Toronto Blue Jays vs. Seattle Mariners,Toronto Blue Jays,5829.65135,0.0,1448.4509110000001,0.0,1448.450911,5,5829.65135,5829.65135,1.0
118,RN1,57930102683433250075457413118893558792602979960386065251172552716781072751256,Exact Score: Canada 0 - 2 Morocco?,No,42586.905868999995,0.0,19254.868931,0.0,19254.868931,185,42586.905868999995,42586.905868999995,1.0
119,RN1,59160054752942111017781272081973573902395600346782307750739439915345277215099,Paraguay vs. France: 1st Half O/U 1.5,Over,31711.604425,0.0,7213.104292,0.0,7213.104292,43,31711.604425,31711.604425,1.0
120,RN1,59228419522118921740322073257400202560207901520600197934079200999523862262784,Canada vs. Morocco: 1st Half O/U 0.5,Over,31557.625624999997,0.0,3434.0648990000004,0.0,3434.064899,78,31557.625624999997,31557.625624999997,1.0
121,RN1,5986488984275762288846227630442187818951318412322984320385279750603889532502,Will Paraguay win on 2026-07-04?,Yes,55221.22194300001,0.0,2390.3395600000003,0.0,2390.33956,60,55221.22194300001,55221.22194300001,1.0
122,RN1,60371674557029625116487470212503274329789207533301082482212213441845022072733,Pittsburgh Pirates vs. Washington Nationals: O/U 9.5,Under,6.083332,0.0,3.923333,0.0,3.923333,2,6.083332,6.083332,1.0
123,RN1,60688539524393997069873883857924125728741268142754566736060452513865271992897,Canada vs. Morocco: O/U 2.5,Under,61121.80704,0.0,48596.753276999996,0.0,48596.753276999996,40,61121.80704,61121.80704,1.0
124,RN1,61221511906668985742640948178283850907448448165552847270885589742857910216401,Exact Score: Paraguay 0 - 0 France?,Yes,862.96,0.0,64.83546,0.0,64.83546,3,862.96,862.96,1.0
125,RN1,61529988878285946086829603393951665099542368147365583440135370864277285943488,Canada vs. Morocco: Morocco O/U 2.5,Over,850.0,0.0,73.72079,0.0,73.72079,2,850.0,850.0,1.0
126,RN1,61878248249308094584951528981824894101578033179179022795290599560377796856930,Paraguay vs. France: 1st Half O/U 0.5,Under,12622.531343999997,0.0,6361.310263,0.0,6361.310263,41,12622.531343999997,12622.531343999997,1.0
127,RN1,61956596667330249513830031723434717646586942722121037061330878359712119306402,Canada leading at halftime?,No,8061.088479,0.0,7409.169483,0.0,7409.169483,6,8061.088479,8061.088479,1.0
128,RN1,62109995893376590411570363703089356287262239641590130483407138546415846621122,Paraguay vs. France: O/U 2.5,Over,24898.331278999998,0.0,11918.885681,0.0,11918.885681,8,24898.331278999998,24898.331278999998,1.0
129,RN1,62406888080197439863278757881313776122863805423202693545387426675246831351483,Detroit Tigers vs. Texas Rangers: O/U 8.5,Over,166.90625,0.0,113.49625,0.0,113.49625,2,166.90625,166.90625,1.0
130,RN1,65668323357092153659635952271884062785503105920888052743329065374587829550790,Will Morocco win on 2026-07-04?,No,90838.58525900001,0.0,31428.263772,0.0,31428.263772,178,90838.58525900001,90838.58525900001,1.0
131,RN1,66223776699043335563776505320054595596466404195053961420506866958973467712677,Canada vs. Morocco: Draw at halftime?,No,3405.592292,0.0,592.242016,0.0,592.242016,9,3405.592292,3405.592292,1.0
132,RN1,66434839387691532038575381528752597947477014814622923674814621770277806752811,Quito: Samuel Heredia vs Matheus Pucinelli de Almeida,Samuel Heredia,1.12359,0.0,0.123595,0.0,0.123595,1,1.12359,1.12359,1.0
133,RN1,67854345526031708682007007697553991601942929401132696342936212906952057836769,Exact Score: Canada 1 - 2 Morocco?,Yes,2854.0600000000004,0.0,298.93718,0.0,298.93718,30,2854.0600000000004,2854.0600000000004,1.0
134,RN1,69409269810971756572135474605694774433368912850915658758245082212452442954853,Paraguay vs. France: France O/U 1.5,Under,1338.5158460000002,0.0,526.3850520000001,0.0,526.3850520000001,7,1338.5158460000002,1338.5158460000002,1.0
135,RN1,69691931242690478001326156415352415782615627515862298627641728495614545305253,Wimbledon ATP: Alex de Minaur vs Zachary Svajda,Alex de Minaur,1.574802,0.0,1.374803,0.0,1.374803,1,1.574802,1.574802,1.0
136,RN1,70110002328775936834822403369481063966324625589426322066890910538423445727229,Paraguay vs. France: O/U 0.5,Under,1160.847953,0.0,72.861439,0.0,72.861439,6,1160.847953,1160.847953,1.0
137,RN1,71197424862380864838573032353937753852231671233714499135314946267200408921148,Paraguay leading at halftime?,Yes,4700.0,0.0,188.0,0.0,188.0,1,4700.0,4700.0,1.0
