condition_id,category,merge_sets,consumed_token0_cost_basis,consumed_token1_cost_basis,pair_cost_per_set,merge_payout_usdc,realized_edge_usdc,realized_edge_per_set,realized_edge_bps
0xc9b94ceeb1871daca779f2af8feae2d6519d2985d5bc79c4bf73a8144b43f632,unknown,1781.874576,622.737521,1030.792185,0.927972,1781.874576,128.344870,0.072028,720.280048
0xf324b717a768402574d2030f4c42206488e37308fbf9aaee9ea12b78ab79a2a0,unknown,1876.773437,1066.308842,783.319333,0.985536,1876.773437,27.145262,0.014464,144.637927
0xc103a9c5aa8d8b78ad25231022c41ca66a1abc130b8c4d7d78ee5e1aa20b72ed,Sports,75.000000,14.250000,59.187883,0.979172,75.000000,1.562117,0.020828,208.282209
0x964e438371fee4d6e47d651ada11c568248232b0bf93daa1e65029bc90850a20,Sports,50.000000,37.500000,14.000000,1.030000,50.000000,-1.500000,-0.030000,-300.000000
0x5ab9f0ea0947231c39a5cf58c8be8f971b3cabcaaf9fc861b77e7f98473a702d,Sports,819.178672,450.448977,388.389381,1.023999,819.178672,-19.659686,-0.023999,-239.992649
0x0b3c19a20c605a2c828b7dbb362e94f93cb28ce11a9e9b30230dbbd71d2dbde9,unknown,470.802002,288.802004,174.355146,0.983762,470.802002,7.644852,0.016238,162.379339
0x9848d99d2b26ab486bbed74903daa4c0cf8ad868230184cfbf99b3ecc521dba3,Sports,55.570000,43.344600,37.353992,1.452197,55.570000,-25.128592,-0.452197,-4521.970886
0x4442dd0bccd0a8ae59c1c1d2d8b1abc60d567bbe7dd0cfb586323a64afb9eb61,Sports,165.073528,49.580393,101.823529,0.917191,165.073528,13.669606,0.082809,828.091981
0x52db6d2514218e886203e173e321af1e26718d7fc5d0773183b1067cf4afb468,Sports,75.000000,53.925873,36.000000,1.199012,75.000000,-14.925873,-0.199012,-1990.116438
0x783601068e34e0fc72c878c00e597d93ab5636bb9153e292540fecdc7f799a11,unknown,264.894720,14.244736,249.706140,0.996437,264.894720,0.943844,0.003563,35.630918
0x2cc005fe9fa773cb0afb5b61b220a4980868f79b1921c7e410dbd9262d8985c0,Sports,187.030000,53.981200,97.990100,0.812550,187.030000,35.058700,0.187450,1874.496063
0x7299e34bc98139ca7472ba4d9981ec0a3178aa6d25c8c146813a07cee1004e9c,Sports,774.938151,293.857158,464.698734,0.978860,774.938151,16.382259,0.021140,211.400852
0x7d07fa5b17dc1822d6a1770be13612ce9f97b5bf9a662266f0a3c128609ba918,Sports,78.581427,13.325289,51.579828,0.825960,78.581427,13.676310,0.174040,1740.399752
0xf28898438baeb224de508702aa1bbe8005ea369fb313544f0df790394db1aa15,Sports,94.099212,17.816018,63.632658,0.865562,94.099212,12.650536,0.134438,1344.382829
0x5c3b82e67d4c4d3a1f44a0bd25fa67e4e5ba2bf6692abbc8f6583ed7e49da86e,Sports,72.235293,22.722941,47.175294,0.967647,72.235293,2.337058,0.032353,323.534116
0xd15e305328309ab4b64f3a88f9c6e0ede089184048194fbee7c9cf71f703137c,Sports,150.000000,31.000000,111.831726,0.952212,150.000000,7.168274,0.047788,477.884964
0xbbd89362b75c12c6efb92982814d8eaa38215e3fc477e08c352eedc87e727924,Sports,250.000000,76.564576,188.500000,1.060258,250.000000,-15.064576,-0.060258,-602.583038
0xede6733c0e48bde3c1f7ab54a0731c25bb58e3364b1effef153261450c401718,Sports,288.926197,89.200744,170.089000,0.897426,288.926197,29.636453,0.102574,1025.744757
0x1a35d35bce96069de3d972357d5d613f044015d8f62c6c21c953b14353d77fc8,Sports,191.522072,92.965686,133.582613,1.182884,191.522072,-35.026227,-0.182884,-1828.835031
0x94ffb5b01c733ff44984a589aa9ed854b314385f47715341a7a2b5d28da3bc62,Sports,100.000000,66.922268,36.500000,1.034223,100.000000,-3.422268,-0.034223,-342.226832
0x6e2f1342d393f15a54dcc035d07dd03f0540cbb51613f2e198c5d5fa1a3afc61,Sports,56.060605,35.560606,17.187879,0.940919,56.060605,3.312120,0.059081,590.810649
0x003a78be01fdbecd2d1a17786ece816b3452f8527852524b9a435d0130904beb,Sports,180.384614,55.557996,116.484615,0.953754,180.384614,8.342003,0.046246,462.456481
0xd3d7fe2d839ca9568a8b11b5173c69e76f30aac75d48b2dda89e5e75d62991fc,Sports,614.424533,350.042536,237.628698,0.956458,614.424533,26.753299,0.043542,435.420425
0xec01eb6d1c67d9526b5f7c8e121134dbf6393e06f2b0e3cfa0ced7cddcf2f019,unknown,171.505452,53.861854,111.723552,0.965482,171.505452,5.920046,0.034518,345.181237
0xe4d1bc21ee4c91b8d9cbe3d197ee827bef56f5ef5b0c9ba95d0191da6c554cea,unknown,1028.280361,655.598871,288.980388,0.918601,1028.280361,83.701102,0.081399,813.991060
0x7fd3525aa572f0adaebbc2b41b984df7f1d13f4efe02a9c0b70e00567dfe4049,unknown,1321.108374,428.277579,773.383115,0.909585,1321.108374,119.447680,0.090415,904.147474
0x5549c008d24552cb92ffa7f047e46068e8805311abbc0a97e2201cacca85547d,unknown,218.405591,15.023886,187.255593,0.926164,218.405591,16.126112,0.073836,738.356197
0x2b11ca4271af092277b425670fa334df75283e456778107ba60c869fa8b75148,unknown,112.400000,87.986720,21.592000,0.974900,112.400000,2.821280,0.025100,251.003559
0xdbf270457f7948c171f52fdc76c28429b4d77c04bf0e05a895c42801d4821df3,Sports,1821.769934,753.562481,932.885548,0.925720,1821.769934,135.321905,0.074280,742.804582
0x724a544b8d7cb5095ed930441cb3b7c301527c66609bbb267d7a06610759e890,Sports,100.000000,17.333333,53.000000,0.703333,100.000000,29.666667,0.296667,2966.666667
0x40ccb345cd9d2f1eef7738aecd67591221415696d1c3d1c0532b93939a5640a6,Sports,1079.992763,380.596165,582.629333,0.891881,1079.992763,116.767265,0.108119,1081.185626
0x9706cc8db891481385f586051d3f1c3ed5cb69601f9879c9e51b9cf16163926d,Sports,300.000000,97.200000,246.000000,1.144000,300.000000,-43.200000,-0.144000,-1440.000000
0x994ae1a700ce5b8b99e70c31a6636b9b127fa441f956e9a21be891a44eeeb340,Sports,300.000000,149.000000,126.000000,0.916667,300.000000,25.000000,0.083333,833.333333
0xd4b387b70cabc940d3f256c453cfc834517d9a91fe63e324bf1e02e4613878a2,Sports,100.000000,67.025294,27.000000,0.940253,100.000000,5.974706,0.059747,597.470637
0xe78772de188747d442f3986787a035c09d99f2bb8829f2c4a71a93e896c5f5a5,unknown,1010.869564,679.869565,192.233214,0.862725,1010.869564,138.766785,0.137275,1372.746689
0x3851c8dcad9d5f707d25cf85c46864fd6c1fb51c4e2f2681e7e5d16e67fa3e80,Sports,456.178925,47.038876,398.488930,0.976651,456.178925,10.651119,0.023349,233.485564
0x78964fde4c84bad0867de9ca4362eecdcce22391f1252b82067b2f8052e1b61f,unknown,1595.001110,982.688311,569.415396,0.973105,1595.001110,42.897403,0.026895,268.949046
0x947157c14a87835ea535bf2fd22c6c24b905c494126a0faa3858f797b7132ca6,unknown,100.000000,9.500000,93.000000,1.025000,100.000000,-2.500000,-0.025000,-250.000000
0x56cc9633d5e5b7934fc96ad2cfd934c04ab51691e9c25f91a00728ea41183db1,Sports,770.008927,246.249810,574.148928,1.065441,770.008927,-50.389811,-0.065441,-654.405541
0xd62695fbb16608f9b2f78c00e6e5a40693f9064299e495590b809c456969efee,Sports,1326.297190,849.216091,456.755528,0.984675,1326.297190,20.325571,0.015325,153.250500
0x7bead2023f59b8c39be7722d42fad02fd3e7b45d8bb1a1db6f8d4451be044a82,Sports,38.543854,21.199120,16.573858,0.980000,38.543854,0.770876,0.020000,199.999798
0xa6662c80b68f427a7a8618cd03aba53671616a3dad63e82b47a9d2a308acf494,unknown,100.000000,10.000000,78.333333,0.883333,100.000000,11.666667,0.116667,1166.666667
0x667fe322ebf5397ab92f9281ec43d2e7ecf5684a9bec3b1d9dcf6bb98190f018,unknown,100.000000,90.000000,2.000000,0.920000,100.000000,8.000000,0.080000,800.000000
0xc9dc3203e759dfa92f162071ef1af5e109917e32207f59efacbd47c92eef3433,unknown,400.000000,297.636355,138.000000,1.089091,400.000000,-35.636355,-0.089091,-890.908863
0x764b0ef91214e58423300b4e3c0b1baf38f8bee26a853fdbdf5a0d6a387af154,Sports,461.627379,359.981796,119.527384,1.038736,461.627379,-17.881801,-0.038736,-387.364385
0x30d2ccd808725af472c16bdbab1072790be473127dafe2616ff2ee53462802db,Sports,221.540704,166.740708,65.127310,1.046616,221.540704,-10.327314,-0.046616,-466.158775
0x7e6c91f6504988d65d85e6610a346b47e980024a259b12627aee417f8e5af553,Sports,200.000000,134.000000,53.970378,0.939852,200.000000,12.029622,0.060148,601.481108
0xd6f7eee362a750da7490f3ae2e6b7ac547663eb15cac32c3af680fb2b3d31841,Sports,200.000000,123.428571,94.000000,1.087143,200.000000,-17.428571,-0.087143,-871.428571
0xaa7412c48887d35027ec45ac45de89a989707d738dda01f0db145a89ab143750,Sports,100.000000,12.000000,82.400000,0.944000,100.000000,5.600000,0.056000,560.000000
0x13b36beb1f647348117da5b280c204766f7f50896cee3aa0be42ac7bfc3209f2,Sports,200.000000,126.486384,104.000000,1.152432,200.000000,-30.486384,-0.152432,-1524.319217
0x88509437c6f0df5469817a42296a5fab73d40401b13735bfb6154a2d72021a3b,Sports,216.492856,180.951157,55.989337,1.094449,216.492856,-20.447638,-0.094449,-944.494830
0xb89dbbcf1c8bc5317ee4433cff4cf6f4cf0567b3aa3f9928e8f44c57d75fe091,Sports,155.000000,62.200000,102.653540,1.063571,155.000000,-9.853540,-0.063571,-635.712289
0xe877153577de11aa4084cee3727afab000eb8d28d54b9af673b577ff72a2c1a5,Sports,164.800000,123.433956,43.199400,1.011125,164.800000,-1.833356,-0.011125,-111.247321
0xb46a1822bf46d312cdece648cc8c1eb264d7b7fae7730555b6b35c405e8b0ee7,Sports,370.326563,262.294653,97.300663,0.971022,370.326563,10.731247,0.028978,289.777934
0x57bba2da6244c3d54b97520679fc46df2d36e33012cef4b145bbbf4e04cbf5c3,Sports,99.980245,66.986764,26.495111,0.935003,99.980245,6.498370,0.064997,649.965393
0x7b4e350d8189043c13ca1fec43673313845c05a1eca69c857a95c5660c9e71a0,Sports,3.040000,1.641600,1.368000,0.990000,3.040000,0.030400,0.010000,100.000000
0xbc856b20f0beafe25829f4d541cabf220ca5b358821db8f1a9280c3578a77db7,Sports,400.000000,187.000000,196.000000,0.957500,400.000000,17.000000,0.042500,425.000000
0x6b64d06b4e223bf27286e1b16a361625cc8175f473caf9f244cd34c4b5bdd929,Sports,497.777776,243.077777,149.746972,0.789157,497.777776,104.953027,0.210843,2108.431347
0xb4d3bffef079a3511727fd5c63ed876df6bcbe942566b7c7f36602e1e4c27fb3,Sports,113.330000,9.066400,77.064400,0.760000,113.330000,27.199200,0.240000,2400.000000
